,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M,Deaths/1M,Total Tests,Tests/1M,Population,Continent,%Inc Cases,%Inc Deaths,%Inc Recovered
0,World,245260452,427970.0,4978285,7568.0,222349961,400508.0,17932206,75052,31465.0,638.7,-1,-1,-1,All,0.17449613115774573,0.15202022383210284,0.18012505970261897
1,USA,46497719,69634.0,759932,1451.0,36375189,99510.0,9362598,13280,139399.0,2278.0,692816053,2077042,333558957,North America,0.14975788382221503,0.19093813657011416,0.2735655888963216
2,India,34214865,13508.0,455684,584.0,33589672,14049.0,169509,8944,24477.0,326.0,601901543,430586,1397864972,Asia,0.039479916112485025,0.12815898736843953,0.04182535631785866
3,Brazil,21748984,13424.0,606293,409.0,20944087,21454.0,198604,8318,101371.0,2826.0,63776166,297257,214549103,South America,0.06172242344745851,0.06745913279552955,0.10243463942830261
4,UK,8853227,40954.0,139834,263.0,7198408,26317.0,1514985,913,129517.0,2046.0,325510859,4762015,68355696,Europe,0.4625883872626331,0.18808015218044252,0.36559472594495895
5,Russia,8316019,36446.0,232775,1106.0,7213584,26973.0,869660,2300,56952.0,1594.0,205800000,1409426,146016918,Europe,0.43826258694214143,0.4751369348082912,0.3739195384707518
6,Turkey,7909111,29643.0,69559,215.0,7346279,31467.0,493273,1405,92468.0,813.0,95211266,1113144,85533610,Asia,0.3747955996571549,0.3090901249299156,0.42833929939225013
7,France,7133766,6603.0,117555,47.0,6921193,4905.0,95018,1049,108973.0,1796.0,151204954,2309749,65463804,Europe,0.09255980641921813,0.03998128535579091,0.07086928510735072
8,Iran,5877456,9096.0,125519,156.0,5443243,13261.0,308694,4184,68817.0,1470.0,32619228,381924,85407642,Asia,0.15476083530017068,0.12428397294433512,0.24362314892059753
9,Argentina,5283000,1415.0,115866,15.0,5149181,1119.0,17953,633,115496.0,2533.0,24896917,544293,45741769,South America,0.02678402422865796,0.012945989332504789,0.021731611298961912
10,Spain,5004143,1926.0,87238,52.0,4859415,2746.0,57490,434,106975.0,1865.0,66213858,1415472,46778641,Europe,0.03848810875308719,0.05960705197276416,0.05650885960552864
11,Colombia,4994014,1428.0,127133,34.0,4838063,1775.0,28818,342,96789.0,2464.0,26610010,515730,51596762,South America,0.028594233015766475,0.026743646417531245,0.03668823659385998
12,Italy,4747773,4053.0,131904,48.0,4540823,3613.0,75046,341,78678.0,2186.0,101911219,1688819,60344656,Europe,0.08536633912362701,0.0363901018922853,0.07956707407445743
13,Germany,4501021,20955.0,95794,-1.0,4225900,10700.0,179327,1336,53496.0,1139.0,73348901,871781,84136868,Europe,0.46556103604048943,-0.001043906716495814,0.2532005016682837
14,Indonesia,4241090,611.0,143270,35.0,4084831,1141.0,12989,-1,15293.0,517.0,45541632,164214,277330765,Asia,0.01440667375603913,0.0244293990367837,0.027932612144786408
15,Mexico,3784448,1121.0,286496,150.0,3149529,3994.0,348423,4798,28952.0,2192.0,11222399,85853,130715840,North America,0.029621228776297095,0.05235675192672847,0.12681261229853735
16,Poland,2982148,6270.0,76539,92.0,2690118,1219.0,215491,449,78910.0,2025.0,21925993,580176,37791984,Europe,0.21025113441720533,0.12020015939586354,0.045313997378553655
17,South Africa,2920109,331.0,88987,53.0,2812320,392.0,18802,546,48432.0,1476.0,18407943,305310,60292708,Africa,0.011335193309564815,0.05955926146515784,0.013938669852648349
18,Ukraine,2803159,19120.0,64936,734.0,2390112,9738.0,348111,177,64608.0,1497.0,14082277,324571,43387372,Europe,0.6820876018805926,1.130343723050388,0.4074286058561272
19,Philippines,2765631,4352.0,42077,135.0,2669689,8206.0,53865,3194,24804.0,377.0,22740209,203948,111500195,Asia,0.1573601105859748,0.32084036409439837,0.3073766270153565
20,Malaysia,2442224,5726.0,28576,84.0,2340390,5607.0,73258,584,74205.0,868.0,33633342,1021927,32911686,Asia,0.23445842805573935,0.29395296752519595,0.23957545537282246
21,Peru,2197052,793.0,200118,35.0,0,0.0,0,872,65435.0,5960.0,18867422,561929,33576160,South America,0.03609382026460912,0.017489681088157984,
22,Netherlands,2093606,5747.0,18340,20.0,1978178,1591.0,97088,182,121829.0,1067.0,17988698,1046778,17184822,Europe,0.2745024613036073,0.10905125408942204,0.08042754494287167
23,Iraq,2049240,1429.0,23024,31.0,1991575,2409.0,34641,215,49488.0,556.0,15718588,379597,41408566,Asia,0.06973316937010794,0.1346421125781793,0.12095954207097398
24,Thailand,1866863,7706.0,18865,66.0,1749848,9532.0,98150,2432,26658.0,269.0,14913135,212951,70030726,Asia,0.41277801316968626,0.3498542274052478,0.5447330282401672
25,Czechia,1735585,4282.0,30660,18.0,1669565,119.0,35360,156,161673.0,2856.0,40033548,3729200,10735157,Europe,0.2467179654122385,0.05870841487279843,0.007127605094740246
26,Japan,1717053,102.0,18207,8.0,1693826,413.0,5020,197,13631.0,145.0,26183287,207860,125966129,Asia,0.005940410692040374,0.043939144285165044,0.02438266976655217
27,Canada,1704391,1804.0,28841,36.0,1649582,2939.0,25968,765,44643.0,755.0,45819418,1200158,38177832,North America,0.10584425756765907,0.12482230158454978,0.17816634759593644
28,Chile,1684608,1157.0,37691,6.0,1633518,1441.0,13399,449,87140.0,1950.0,23240554,1202165,19332246,South America,0.0686806663627384,0.01591891963598737,0.08821451615470415
29,Romania,1587880,16765.0,45503,511.0,1345324,14099.0,197053,1867,83272.0,2386.0,14446331,757602,19068495,Europe,1.0558102627402575,1.1230028789310595,1.0480003330052836
30,Bangladesh,1568257,276.0,27834,6.0,1532180,440.0,8243,1369,9399.0,167.0,10262107,61505,166849261,Asia,0.017599156260740427,0.02155636990730761,0.028717252542129517
31,Belgium,1328202,5847.0,25889,15.0,1207877,2541.0,94436,256,113949.0,2221.0,21338563,1830684,11656062,Europe,0.44021918352780676,0.05793966549499787,0.2103691021519575
32,Israel,1325063,784.0,8063,1.0,1305720,1349.0,11280,236,142083.0,865.0,29094533,3119723,9326000,Asia,0.05916699809744895,0.012402331638348009,0.10331464632539901
33,Pakistan,1269806,572.0,28392,6.0,1217218,310.0,24196,1028,5605.0,125.0,20572249,90814,226531131,Asia,0.04504625115962596,0.021132713440405747,0.025467911253366286
34,Sweden,1168271,-1.0,14964,-1.0,1135105,-1.0,18202,25,114737.0,1470.0,13154558,1291917,10182198,Europe,-8.559657819119024e-05,-0.006682705159048383,-8.809757687614801e-05
35,Serbia,1111957,7840.0,9634,63.0,978736,6916.0,123587,267,127944.0,1109.0,6205905,714063,8690979,Europe,0.7050632353589212,0.653933983807349,0.7066256886433113
36,Portugal,1086280,829.0,18141,3.0,1037261,1284.0,30878,62,106943.0,1786.0,19736210,1943014,10157522,Europe,0.07631549876643222,0.0165371258475277,0.12378755202403252
37,Cuba,947935,975.0,8201,10.0,934350,1399.0,5384,132,83758.0,725.0,10404761,919351,11317505,North America,0.10285515357065622,0.12193634922570418,0.14972975865575
38,Morocco,944803,425.0,14636,15.0,925125,375.0,5042,347,25204.0,390.0,10030332,267573,37486335,Africa,0.04498292236582652,0.10248701831101395,0.040535062829347386
39,Kazakhstan,931137,1353.0,11975,24.0,874647,1668.0,44515,221,48821.0,628.0,11575012,606902,19072287,Asia,0.14530622239262322,0.20041753653444677,0.19070550747901724
40,Vietnam,896174,3595.0,21802,64.0,810290,2989.0,64082,-1,9099.0,221.0,42517091,431682,98491625,Asia,0.4011497767174678,0.2935510503623521,0.36888027743153684
41,Switzerland,867197,1491.0,11218,6.0,822212,-1.0,33767,95,99245.0,1284.0,11566572,1323715,8737965,Europe,0.17193325161410844,0.053485469780709574,-0.00012162313369301347
42,Jordan,854758,1746.0,10976,11.0,824993,1180.0,18789,581,82693.0,1062.0,10809943,1045806,10336473,Asia,0.20426834261861251,0.10021865889212828,0.1430315166310502
43,Hungary,852214,1701.0,30611,44.0,795828,266.0,25775,197,88514.0,3179.0,7301452,758354,9628020,Europe,0.19959775361587584,0.14373917872660155,0.03342430776499444
44,Nepal,810298,569.0,11372,11.0,788630,622.0,10296,-1,27168.0,381.0,4386567,147072,29825911,Asia,0.0702210791585318,0.09672880759760816,0.07887095342556077
45,Austria,804825,3369.0,11279,18.0,760336,2215.0,33210,232,88695.0,1243.0,95541800,10529092,9074078,Europe,0.4186003168390644,0.1595886160120578,0.2913185749458134
46,UAE,739471,90.0,2134,3.0,733504,125.0,3833,-1,73596.0,212.0,91908560,9147256,10047665,Asia,0.012170862684270242,0.14058106841611998,0.017041488526306606
47,Greece,724571,4165.0,15707,25.0,671596,2518.0,37268,380,69967.0,1517.0,25123079,2425959,10355939,Europe,0.5748228952028166,0.1591647036353218,0.3749277839653601
48,Tunisia,712013,192.0,25213,17.0,685508,122.0,1292,116,59427.0,2104.0,3053773,254876,11981402,Africa,0.02696579978174556,0.06742553444651568,0.01779702060369828
49,Georgia,698944,4762.0,9831,43.0,639564,3953.0,49549,-1,175655.0,2471.0,9992057,2511151,3979075,Asia,0.6813135244025272,0.4373919235072729,0.6180773151709602
50,Lebanon,638581,527.0,8465,6.0,613770,494.0,16346,200,94114.0,1248.0,4780275,704520,6785153,Asia,0.08252672722802588,0.07088009450679268,0.080486175603239
51,Guatemala,596417,1350.0,14797,49.0,574566,1766.0,7054,5,32500.0,806.0,2851620,155390,18351317,North America,0.22635169688322096,0.33114820571737513,0.30736242659677043
52,Belarus,590226,1995.0,4546,16.0,562091,1748.0,23589,-1,62489.0,481.0,9415479,996850,9445227,Europe,0.3380061196897459,0.3519577650681918,0.31098167378591723
53,Bulgaria,582122,6816.0,23440,124.0,471403,2323.0,87279,608,84617.0,3407.0,5378292,781788,6879479,Europe,1.1708885766213957,0.5290102389078498,0.4927843055729387
54,Costa Rica,557922,757.0,6997,14.0,490672,1559.0,60253,306,108222.0,1357.0,2524241,489634,5155359,North America,0.1356820487451651,0.20008575103615836,0.31772752470081844
55,Saudi Arabia,548368,65.0,8782,2.0,537376,38.0,2210,70,15435.0,247.0,30140728,848388,35527051,Asia,0.011853353952090567,0.02277385561375541,0.007071398797117847
56,Sri Lanka,537201,556.0,13654,14.0,504003,300.0,19544,-1,24950.0,634.0,5381256,249925,21531515,Asia,0.10349943503455876,0.10253405595429911,0.05952345521752847
57,Azerbaijan,520068,2266.0,6939,24.0,486426,1194.0,26703,-1,50691.0,676.0,5131033,500125,10259494,Asia,0.43571225301306754,0.34587116299178555,0.24546385267234894
58,Ecuador,515659,-1.0,32953,-1.0,443880,-1.0,38826,759,28655.0,1831.0,1914667,106397,17995480,South America,-0.0001939266065364902,-0.0030346250720723455,-0.00022528611336397226
59,Bolivia,510470,551.0,18903,2.0,473195,640.0,18372,220,42960.0,1591.0,2516925,211817,11882528,South America,0.10793974180657041,0.010580331164365445,0.1352507951267448
60,Myanmar,495898,924.0,18582,22.0,460224,1754.0,17092,-1,9034.0,339.0,4771253,86924,54890141,Asia,0.18632864016390466,0.11839414487138092,0.3811187595605618
61,Panama,471884,215.0,7314,4.0,462287,227.0,2283,49,107146.0,1661.0,4040000,917325,4404110,North America,0.045562044909342125,0.05468963631391851,0.049103695323467894
62,Paraguay,460815,61.0,16233,1.0,444303,35.0,279,16,63580.0,2240.0,1886023,260219,7247837,South America,0.013237416316743163,0.006160290765724143,0.007877507016608037
63,Slovakia,460281,2850.0,12935,18.0,414563,1495.0,32783,245,84252.0,2368.0,3874010,709120,5463127,Europe,0.6191869749131509,0.13915732508697334,0.360620701799244
64,Croatia,449365,3360.0,9090,30.0,422331,2031.0,17944,143,110358.0,2232.0,3048235,748604,4071891,Europe,0.7477217851857622,0.33003300330033003,0.4809024201396535
65,Ireland,433902,2180.0,5369,-1.0,379308,1459.0,49225,97,86601.0,1072.0,7897226,1576172,5010383,Europe,0.502417596600154,-0.018625442354255912,0.38464783236841826
66,Palestine,421916,375.0,4383,7.0,410176,965.0,7357,60,80254.0,834.0,2619049,498180,5257230,Asia,0.08888025104523176,0.15970796258270592,0.23526486191293494
67,Kuwait,412578,21.0,2461,-1.0,409679,40.0,438,5,94766.0,565.0,4741080,1088988,4353658,Asia,0.0050899466282739265,-0.04063388866314506,0.009763741856429059
68,Venezuela,402407,1148.0,4836,14.0,384305,1192.0,13266,681,14204.0,171.0,3359014,118568,28329745,South America,0.2852833076959397,0.2894954507857734,0.31017030743810253
69,Uruguay,392585,266.0,6074,1.0,384702,165.0,1809,25,112502.0,1741.0,3785389,1084766,3489589,South America,0.06775602735713285,0.016463615409944024,0.042890341095185365
70,Lithuania,392538,2467.0,5698,31.0,349215,4602.0,37625,251,146898.0,2132.0,5482792,2051800,2672187,Europe,0.6284741859386862,0.544050544050544,1.3178128087281475
71,Denmark,379078,1253.0,2703,4.0,362497,751.0,13878,22,65144.0,465.0,85395099,14675037,5819072,Europe,0.33053883369649517,0.14798372179060304,0.20717412833761384
72,Dominican Republic,377385,649.0,4114,4.0,367642,758.0,5629,247,34335.0,374.0,2187112,198989,10991110,North America,0.17197291890244712,0.09722897423432182,0.20617883702079742
73,Honduras,374569,187.0,10202,3.0,115384,25.0,248983,165,37043.0,1009.0,1083343,107136,10111812,North America,0.04992404603691176,0.02940599882376005,0.02166678222283852
74,Ethiopia,363240,568.0,6393,16.0,336914,752.0,19933,484,3060.0,54.0,3663817,30865,118704314,Africa,0.15637044378372425,0.2502737368997341,0.22320236024623497
75,Libya,354866,651.0,5033,5.0,290784,1291.0,59049,-1,50737.0,720.0,1771282,253249,6994233,Africa,0.18344952742725423,0.09934432743890324,0.44397215802795204
76,S. Korea,354355,1266.0,2788,15.0,327592,3144.0,23975,334,6904.0,54.0,15579430,303531,51327324,Asia,0.35726884056948544,0.5380200860832138,0.959730396346675
77,Mongolia,351835,1231.0,1677,11.0,313256,-1.0,36902,192,105097.0,501.0,4030048,1203815,3347729,Asia,0.34987991530120655,0.655933214072749,-0.00031922772428939907
78,Moldova,330799,1505.0,7576,41.0,308832,1368.0,14391,267,82255.0,1884.0,1985799,493783,4021606,Europe,0.4549590536851683,0.541182682154171,0.4429592788312092
79,Egypt,326379,871.0,18375,42.0,275637,875.0,32367,90,3112.0,175.0,3693367,35218,104872082,Africa,0.2668676599903793,0.2285714285714286,0.3174464966604629
80,Slovenia,322917,2297.0,4704,10.0,297951,996.0,20262,83,155300.0,2262.0,1698063,816645,2079315,Europe,0.7113282979836923,0.21258503401360546,0.33428315394141994
81,Oman,304205,22.0,4111,1.0,299558,9.0,536,2,57645.0,779.0,25000000,4737348,5277214,Asia,0.0072319652865666245,0.024324981756263683,0.0030044265217420334
82,Armenia,298069,1517.0,6112,57.0,263002,1050.0,28955,-1,100342.0,2058.0,2018614,679544,2970540,Asia,0.5089425602796668,0.9325916230366491,0.39923650770716573
83,Bahrain,276635,27.0,1393,-1.0,274640,58.0,602,2,155487.0,783.0,6840598,3844860,1779154,Asia,0.009760153270555063,-0.07178750897343862,0.021118555199533935
